Raman shift [1/cm];SA-thermal-after-120C.sp;SB-thermal-after-120C.SP;SC-thermal-after-120C.sp;SD-thermal-after-120C.sp;SE-thermal-after-120C.sp;SF-thermal-after-120C.sp;SG-thermal-after-120C.sp;SH-thermal-after-120C.sp;SI-thermal-after-120C.sp;
3278,000;-0,021427946;2,0300052;0,7729423;4,2792926;4,074966;-2,8192687;-1,0428018;-0,98060937;4,6343273;
3276,000;-1,1533164;3,9264281;3,9364307;6,43055;3,7059046;0,89799525;-0,74062186;8,4684524;2,4480153;
3274,000;-0,051554188;1,9396059;3,2432018;4,2234131;1,4714627;8,7256647;-0,39139897;2,8540421;2,5056709;
3272,000;-0,40035069;2,9745354;5,6751831;5,6864729;3,37597;-4,1492857;-1,0725574;5,7844535;2,3883017;
3270,000;-0,99810906;4,5062285;0,31809424;4,7472897;3,8922784;3,702957;-1,1108412;4,5685389;0,80358596;
3268,000;-0,36590303;2,5181477;1,1924586;5,1368487;4,7542802;8,6997466;-0,86356663;-3,5081494;3,5750401;
3266,000;-0,20774621;2,7679409;6,1584931;3,668796;4,3052673;10,482058;-0,50790131;4,4535342;3,5327836;
3264,000;-0,32240489;3,3784878;4,5656979;2,6169874;3,2761795;5,1694838;-0,63831321;1,9309901;2,3621691;
3262,000;-0,04094185;3,7971805;7,0769974;2,581096;4,7137744;5,3152171;-1,1526874;0,13901595;3,3797448;
3260,000;0,40849099;2,321658;4,532725;5,3379261;3,3723072;1,4892521;-1,1495608;6,7120983;2,9846601;
3258,000;-0,3393797;-0,041056995;4,2189736;4,1214601;2,8768217;-1,8661746;-1,2582631;5,0818416;2,9646881;
3256,000;-0,41258851;5,5517833;2,1250661;0,61116774;3,1206608;-0,51535773;-0,40080329;3,2723732;3,0232777;
3254,000;-0,56059978;2,7253433;6,3856128;1,3002308;2,6152587;0,78031276;-0,79657889;3,0026386;2,9251106;
3252,000;-0,69951697;1,4665875;0,77126287;4,3547743;3,4560395;3,1129646;-0,47485567;4,7954622;1,9104381;
3250,000;0,26324875;0,56585053;2,3612399;0,7970961;4,7516891;1,1991899;-0,76458229;6,8637156;2,0177577;
3248,000;-0,44454126;4,0329893;3,8180919;1,2340593;1,7681026;7,7229917;-0,84260128;4,6564493;2,7614423;
3246,000;-0,49945831;3,8521828;2,959826;4,3930065;3,9847976;-0,87118939;-0,78141304;4,130837;3,0954811;
3244,000;-0,0019125961;1,7339992;4,7490287;3,900678;2,5356855;2,2090411;-0,93799617;8,1088885;3,9216469;
3242,000;-1,0646253;3,5331462;3,4317696;3,5534104;2,9054843;5,3493164;-0,90909466;8,850527;1,731348;
3240,000;-0,31677126;1,362973;3,3624573;6,6420193;2,087695;3,0263933;-1,6802175;6,3700318;0,91866859;
3238,000;-0,73493917;1,5407805;4,4275765;5,0298262;3,3864122;0,15813041;-0,50774924;1,0267891;3,1791936;
3236,000;-0,77047502;2,5384893;0,2754236;6,040507;3,1182544;5,5058928;-1,067165;2,3537118;3,6155001;
3234,000;-0,38453354;-0,47434027;4,4170837;5,5719963;4,523635;4,4050841;-0,9545063;2,6250685;0,79805561;
3232,000;-0,91109063;1,2559884;2,5313159;0,20834004;2,3293897;2,5148033;-1,0610148;2,3462939;3,4210165;
3230,000;-0,56955772;2,9559228;-0,67569986;5,2291136;0,4639806;1,2336482;-0,88221145;1,0100405;1,9796094;
3228,000;-0,1495642;1,8143432;3,2709388;3,5195005;3,7345705;1,3809824;-1,0537465;6,7970074;1,2640635;
3226,000;-0,31335518;2,3162224;1,737048;3,7302158;-0,3511539;-0,58448795;-0,65809889;4,6370536;2,5215941;
3224,000;-0,8703247;1,3557628;1,0486007;7,0565919;2,7186287;2,3698005;-0,90555161;-4,4515069;0,82296858;
3222,000;-0,029629132;5,0272783;3,5861093;1,898827;1,2535346;4,3986981;-0,56235404;1,7503852;2,9655417;
3220,000;-0,25227259;1,1309865;1,987953;1,0379277;2,2332998;5,8152027;-0,37137625;0,23382281;2,0963527;
3218,000;-0,7193153;0,82388167;5,9611129;1,7672242;1,5468024;7,757707;-0,72376172;5,7727605;1,9862453;
3216,000;-0,41919133;0,36929674;3,7326103;2,4747079;4,5465281;3,3612526;-0,44972165;0,70587069;1,874341;
3214,000;-0,054077633;1,1808276;-1,7047122;3,2999803;2,9746318;-5,7319676;-0,87023332;3,0048226;1,7957564;
3212,000;-0,34209475;1,384088;3,2349076;0,21898619;2,2370081;3,9672197;-0,92284042;-0,57769094;1,2999471;
3210,000;-0,70148384;0,86294863;3,7951141;1,6147373;3,6586132;3,3687125;-0,56726805;-1,9611345;2,5612753;
3208,000;-0,29514885;2,2858834;-2,4020845;4,8940426;3,6073658;-2,0224493;-0,83393278;-5,2276032;0,080313902;
3206,000;-0,68112885;1,7234412;0,58245463;3,3163903;1,5423502;1,3176789;-0,050343232;3,6673865;1,5542692;
3204,000;-0,46551801;-0,23066207;2,8063462;3,2803009;3,40277;5,1796622;-0,66279575;2,6286281;0,6781403;
3202,000;-0,75602368;1,2996173;7,0159248;-0,92852906;0,75082279;7,4403279;-1,1187748;6,9815474;1,6913681;
3200,000;-0,69552739;1,055264;4,1893564;0,88737501;0,86680204;1,7898166;-0,60945175;4,9930676;0,45327877;
3198,000;-0,21490761;1,5912657;1,2716439;6,6315726;1,9974575;0,16491179;-0,67952907;8,7901383;2,5458497;
3196,000;-0,35227508;1,6705493;5,24207;2,8158692;2,9397208;6,6144556;-0,46608932;5,1286342;2,6775544;
3194,000;-0,8845942;-1,258005;0,94681346;2,6706496;1,9933374;3,5580424;-0,86472239;-3,6975852;2,5409907;
3192,000;-0,60367537;0,83134944;-1,337034;3,8173265;2,2556065;2,9879846;-1,1720644;2,667139;1,2320254;
3190,000;-0,49546662;0,10027301;4,3599401;2,9243798;1,5107856;-2,8839756;-1,3279087;2,0774133;1,2502288;
3188,000;-0,36848546;3,4317093;3,462858;1,7944385;-0,96665153;-3,781985;-0,35377686;-0,13424577;-1,0817866;
3186,000;-0,45197105;2,8782631;0,74486323;0,94660979;1,1726184;-6,3056275;-0,90894566;3,7886856;-0,94873041;
