Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;
3278,000;374,34114;994,20848;627,75894;681,70782;1025,1635;
3276,000;-12,495185;327,82786;951,10685;913,70349;364,40351;
3274,000;-25,463435;694,39108;741,81749;865,98206;465,2599;
3272,000;-88,597178;465,34613;719,79889;735,40409;549,10787;
3270,000;655,0632;911,9985;644,97991;352,81099;977,48722;
3268,000;229,37133;795,26734;1036,6099;749,1397;838,89548;
3266,000;456,98836;898,96058;854,01399;678,44019;529,83517;
3264,000;782,92335;1239,9777;751,51911;705,05226;1288,4852;
3262,000;205,02061;1259,8977;920,41541;564,95013;1098,7025;
3260,000;329,73442;774,16015;373,01899;569,35205;878,25019;
3258,000;419,30609;998,45518;645,60325;652,90876;912,9482;
3256,000;278,73792;1001,1101;790,17988;760,49281;1044,2857;
3254,000;575,25022;905,24982;763,42943;1112,9484;730,78618;
3252,000;381,96421;778,48798;480,74084;418,77357;742,7514;
3250,000;180,36438;632,85801;814,00477;216,07496;647,13766;
3248,000;492,45463;1114,4371;700,46134;693,19901;798,3298;
3246,000;213,7931;1207,1644;662,0074;805,57549;711,3859;
3244,000;475,54014;647,2199;1031,0623;536,92851;799,75995;
3242,000;130,88997;700,16341;590,25975;950,33908;945,09253;
3240,000;232,89429;994,23968;666,29268;680,07946;804,20672;
3238,000;389,27212;782,17786;552,42804;519,89263;556,18029;
3236,000;186,84938;919,22779;292,21707;703,97906;746,41762;
3234,000;264,85386;944,56152;927,72389;487,35348;715,8656;
3232,000;-29,070278;567,52608;580,51116;425,78326;976,01363;
3230,000;162,27119;905,22105;439,5074;743,61304;544,09907;
3228,000;16,763611;912,12956;687,64906;580,63081;724,11922;
3226,000;340,38226;303,40541;69,810314;438,53771;1102,6607;
3224,000;254,53564;384,3811;1026,287;513,62787;783,86171;
3222,000;860,72294;581,50042;634,94325;633,16998;1239,1915;
3220,000;435,54019;553,78493;939,02599;424,40217;1137,9581;
3218,000;542,80061;508,73687;1047,7121;424,21227;328,84237;
3216,000;487,65619;707,68927;793,55822;373,37119;690,26881;
3214,000;224,2429;739,57794;587,22233;287,67517;548,5686;
3212,000;104,29574;637,61327;327,31883;578,96401;678,18724;
3210,000;-81,671692;751,22409;519,32244;616,83808;1035,5726;
3208,000;178,99569;1017,0832;621,10172;850,59064;557,27865;
3206,000;231,24645;411,46495;977,97738;254,70065;399,55611;
3204,000;725,09758;620,71902;457,79135;134,63198;703,71623;
3202,000;328,76443;1170,0963;856,49058;295,21015;705,85238;
3200,000;-48,761452;696,96734;522,97545;1048,354;530,6451;
3198,000;583,20525;589,48916;653,67655;412,06986;661,8496;
3196,000;285,09751;1010,4112;231,9634;565,86458;794,60374;
3194,000;353,00368;932,7353;759,44672;496,62169;391,40627;
3192,000;-51,289417;405,52977;115,1648;338,19187;319,18069;
3190,000;-144,2355;447,35798;1150,2893;852,39682;271,22421;
3188,000;30,031907;128,27059;596,66857;500,72112;783,58274;
3186,000;-77,016223;-23,91457;105,26201;682,63796;1195,9133;
3184,000;-34,720718;1116,489;134,45837;474,49504;616,41581;
3182,000;-107,53594;642,55416;105,27752;931,53448;645,33688;
3180,000;-34,950553;733,70012;269,69575;716,5997;1229,0831;
3178,000;50,873759;-61,712567;377,56376;328,17849;535,65515;
3176,000;-250,07636;248,85733;452,38332;804,74962;858,68163;
3174,000;-11,900666;603,97669;123,51301;216,21782;75,736927;
3172,000;229,41713;37,739058;493,95417;-215,36745;583,76312;
3170,000;-320,22797;539,14296;100,45446;697,85573;579,94493;
3168,000;429,97481;348,75981;199,34605;223,08791;584,65282;
3166,000;28,286035;198,63364;219,46032;385,48908;569,89542;
3164,000;206,47054;431,51366;219,77145;510,7654;568,16239;
3162,000;119,00357;148,09563;245,13704;398,93567;418,27528;
3160,000;-121,20085;476,38667;259,69385;961,66049;259,15301;
3158,000;417,95578;739,72746;372,66084;859,6122;339,72758;
3156,000;593,61917;954,37863;460,69383;589,3864;366,53617;
3154,000;96,659576;1090,1897;255,31121;621,49804;551,55233;
3152,000;517,3207;517,70574;552,61912;692,02692;508,48382;
3150,000;142,12076;721,38089;248,34728;757,00838;793,96094;
3148,000;115,6998;664,16618;635,90694;203,57525;479,23242;
3146,000;-5,1510395;657,69491;694,57034;418,07055;681,15949;
3144,000;7,8734402;629,61443;279,32092;541,8045;596,6775;
3142,000;-19,522437;564,38792;202,99441;437,23683;447,29276;
3140,000;127,32586;394,49002;760,01701;436,41522;379,67618;
3138,000;221,18594;957,28498;661,67559;538,33894;574,20713;
3136,000;143,67407;435,60703;576,88251;369,66494;534,16789;
3134,000;119,29873;567,90831;388,35222;506,05147;34,780721;
3132,000;110,25094;500,57723;334,17146;356,69827;275,68325;
3130,000;-178,69374;394,34769;475,61186;82,53301;608,40213;
3128,000;-275,95469;707,93124;490,15141;605,97199;172,92457;
3126,000;-82,13688;457,99263;363,2797;356,58817;411,66058;
3124,000;166,81205;449,53995;971,01589;459,55853;392,32972;
3122,000;233,94748;851,02367;570,41225;416,8848;430,93732;
3120,000;-378,37352;1065,6436;420,69069;651,25795;531,66167;
3118,000;179,75937;630,73913;116,05307;560,29844;458,59201;
3116,000;291,24406;817,39097;813,12593;475,1073;595,95;
3114,000;261,99858;914,40015;572,41178;637,41488;1164,5829;
3112,000;-26,165365;1204,3094;171,49967;815,06352;864,23083;
3110,000;173,66261;1431,3317;497,51415;774,66805;829,15963;
3108,000;-60,074924;1354,8914;729,63506;687,91969;1036,052;
3106,000;-221,15232;1512,3643;282,14977;512,14219;1286,2726;
3104,000;24,307969;1486,1319;692,71883;362,45399;686,24336;
3102,000;-191,9672;1599,2792;380,26417;779,41509;1022,7546;
3100,000;24,856583;1370,447;577,82423;526,84655;1141,0929;
3098,000;46,348889;1564,4524;580,93698;721,60224;1217,3002;
3096,000;95,442378;1441,0952;778,79436;931,86204;1269,3068;
3094,000;-39,464683;1596,9324;1067,9453;910,24033;1436,1483;
3092,000;-37,745287;1817,1648;758,07878;991,12236;1397,8532;
3090,000;108,74829;1857,9333;626,37895;1041,3511;1409,9074;
3088,000;33,073419;2031,8286;1303,2203;1608,2857;1565,8339;
3086,000;73,276383;2040,9809;1471,8763;1351,5934;1888,4499;
3084,000;9,1858717;2381,4489;1723,1405;1980,5272;2236,0679;
3082,000;-180,90209;2754,228;2169,5348;1938,7052;2828,0675;
3080,000;-145,5367;3078,3665;2551,0343;2430,486;3061,7963;
3078,000;-16,694047;3371,6886;2724,2343;2916,0519;3659,4871;
3076,000;28,124648;3883,9836;3674,0748;3341,2916;4223,6167;
3074,000;-16,47526;4549,5732;3784,8876;3765,1925;4489,8706;
3072,000;223,09059;4764,4196;4268,3156;4081,4452;4999,649;
3070,000;264,6177;5172,6458;4221,3594;4105,2139;5521,825;
3068,000;32,646344;5125,1515;4447,8668;4276,8462;5766,2254;
3066,000;155,31519;5817,418;4521,4707;4894,7549;5439,5144;
3064,000;53,609789;6214,089;4197,8178;4514,2809;5950,3591;
3062,000;21,038097;5562,7832;4937,6764;4834,6576;5668,6342;
3060,000;70,614496;5302,5545;4365,0813;4697,6095;5602,3527;
3058,000;31,438134;4898,0188;4189,8048;3954,4245;5042,4252;
3056,000;8,0858634;4603,4836;3974,0447;3904,349;5150,7816;
3054,000;-0,40204748;3781,1735;3448,1406;3654,5289;4471,3714;
3052,000;123,20535;3667,5547;3536,2798;3403,7719;4040,8298;
3050,000;0,23765046;3028,6073;3070,7395;2996,4941;3759,4655;
3048,000;135,85098;2681,7603;2753,6288;2565,5302;3435,9008;
3046,000;36,0187;2604,0437;2435,9106;1979,3641;2939,154;
3044,000;309,15063;2180,5849;2110,5431;1822,8081;2462,5855;
3042,000;121,27621;2335,7285;1893,6286;2064,4716;2413,9827;
3040,000;100,07709;2117,3561;1968,4204;1640,956;2443,4014;
3038,000;58,738174;2181,8264;1996,9485;1777,8082;2350,2683;
3036,000;23,004668;1749,9717;1922,1463;1532,3785;2035,7268;
3034,000;80,571678;1556,0271;1769,6451;1470,7362;1634,0453;
3032,000;-74,152174;1474,4292;1240,7491;1426,0347;1610,1932;
3030,000;-55,700388;1556,4535;1405,7349;1435,8435;1552,6182;
3028,000;0,49467547;1368,1084;1329,3388;1310,4722;1603,8965;
3026,000;199,73508;1519,0519;1342,5351;1251,7829;1626,3844;
3024,000;86,353286;1524,9062;1156,9057;1293,2833;1678,4513;
3022,000;42,70118;1812,2532;1205,2132;1273,9304;1558,8546;
3020,000;74,639994;1981,5265;1055,784;1060,3084;1588,7941;
3018,000;-44,210578;2119,0193;1179,7379;1236,8754;1893,6771;
3016,000;-102,52484;2460,7829;1531,8668;1145,7036;2122,6821;
3014,000;-65,114452;2724,734;1274,6582;1413,7485;2439,0519;
3012,000;-58,293817;3332,0357;1614,4372;1434,5557;2610,8308;
3010,000;-2,858521;3672,1657;1589,5195;1667,9898;2851,5529;
3008,000;5,9256592;3563,3423;1856,1296;1705,1138;2849,9957;
3006,000;67,667519;3506,2135;1807,5072;1679,4299;2779,5809;
3004,000;125,50527;3029,4569;1934,0992;1660,1131;2574,3793;
3002,000;-33,042323;2985,4576;1969,6169;1957,1502;2580,0609;
3000,000;-44,866339;2874,1797;2031,2832;2169,5079;2532,0017;
2998,000;109,86341;2748,2957;1984,5826;2051,2952;2607,7776;
2996,000;-133,06731;2916,4225;2022,9626;2079,1079;2592,2857;
2994,000;-35,149405;3092,8106;2311,7443;1928,643;2400,1573;
2992,000;185,01812;2843,4333;2342,6052;2043,6428;2546,0321;
2990,000;-64,116887;2462,6611;2190,2774;2012,2119;2543,1994;
2988,000;-73,532672;2749,0828;2131,3891;2211,8106;2592,5383;
2986,000;-213,57035;2760,0458;2499,8105;2159,06;2805,1885;
2984,000;-35,623335;2896,4925;2507,0444;2217,6281;3117,2762;
2982,000;17,043484;3198,9777;2676,2031;2575,4477;3123,697;
2980,000;141,03526;3427,6746;2783,6621;2957,8611;3348,4102;
2978,000;-49,585783;2992,0217;3014,9186;2939,3695;3316,2286;
2976,000;22,002306;3190,9337;3062,3089;2829,002;3366,1408;
2974,000;6,1248816;3045,0955;3018,6479;2838,1077;3543,9805;
2972,000;-7,7520009;3275,9897;3426,4462;3079,1923;3387,3645;
2970,000;-0,41975224;3431,4853;3171,3905;3133,6551;3488,734;
2968,000;41,804927;3201,3788;3510,113;3100,6645;3716,4691;
2966,000;30,780982;3324,4831;3321,4069;3218,7021;3474,3837;
2964,000;85,314588;3475,4576;3337,7354;3050,375;3730,3557;
2962,000;-45,86263;3427,9169;3457,2488;3371,543;3761,6014;
2960,000;-8,9397746;3543,1943;3360,8674;3519,5761;3985,916;
2958,000;52,860003;3260,7284;3512,4444;3355,6928;4003,9494;
2956,000;-41,89408;3228,5786;3411,4628;3302,7871;4004,1587;
2954,000;4,140794;3283,8666;3558,6129;3637,8914;3879,2825;
2952,000;20,400238;3000,3706;3678,3637;3724,3241;3838,2768;
