Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
3278,000;681,17775;1086,7869;62,325809;389,08375;905,27246;23,265622;399,23092;-14,289195;1260,0558;
3276,000;-168,09369;1373,9309;425,37522;616,80268;472,26796;283,94009;1209,5507;782,46314;646,88553;
3274,000;658,57362;895,62286;345,81863;383,1687;738,23364;832,8582;2146,0199;309,05164;663,05556;
3272,000;396,86682;823,32717;624,91855;538,03924;766,47217;-70,002294;319,43884;556,14624;630,13835;
3270,000;-51,639478;921,62144;10,12637;438,62306;291,73729;480,63903;216,77779;453,61936;185,69099;
3268,000;422,71337;1055,2791;110,47049;479,85939;647,95492;831,04068;879,86438;-227,41337;962,96947;
3266,000;541,3806;1083,3171;680,38435;324,46033;469,8981;956,02587;1835,1258;443,92208;951,11827;
3264,000;455,35062;875,22469;497,59141;213,12231;-59,620852;583,47974;1488,0498;231,21917;622,80921;
3262,000;667,20881;1026,0728;785,79407;209,32308;242,54735;593,69935;111,34815;80,118495;908,19721;
3260,000;1005,6459;1005,6142;493,80736;501,14421;171,28158;325,40218;122,36644;634,36598;797,39225;
3258,000;445,72976;969,11629;457,80051;372,37658;170,38743;90,101685;-166,49337;496,90145;791,79091;
3256,000;392,02167;848,68516;217,49874;0,7985431;125,04761;184,8282;2135,4881;344,32565;808,2229;
3254,000;282,18826;1085,2029;706,44914;73,73853;254,41745;275,68756;1076,8181;321,58142;780,69108;
3252,000;179,17827;1166,4766;62,133074;397,07379;235,97523;439,2656;1942,1789;472,75371;496,11733;
3250,000;902,77606;1180,9558;244,6026;20,479779;93,089592;305,06146;1167,8877;647,15047;526,21605;
3248,000;372,933;919,35869;411,79437;66,734024;864,90156;762,5454;961,30758;461,03203;734,78887;
3246,000;332,94947;1198,3644;313,29775;401,12082;512,62772;159,87538;1128,0229;416,71199;828,47297;
3244,000;707,48631;858,17187;518,63089;349,00594;-16,405622;375,87764;710,76668;752,14443;1060,1784;
3242,000;-88,660117;532,93774;367,45912;312,24632;384,83957;596,09057;790,90247;814,67998;445,88994;
3240,000;473,6865;481,69244;359,50467;639,18753;291,00975;433,19476;-1274,2914;605,52267;217,96692;
3238,000;161,15087;268,2005;481,74028;468,53065;335,50329;232,0568;1872,4107;154,97622;851,95087;
3236,000;135,70931;886,83067;5,2293868;575,51511;86,007559;607,07054;374,92633;266,8634;974,31683;
3234,000;426,50797;1012,1077;480,53609;525,92145;-152,56503;529,87594;679,66383;289,74441;184,13995;
3232,000;32,646451;540,37194;264,12092;-41,842328;59,379304;397,31933;396,68679;266,23791;919,77219;
3230,000;290,12476;960,00954;-103,92379;489,62599;449,71313;307,47787;878,79646;153,56397;515,51702;
3228,000;606,47312;533,93254;349,0018;308,65682;374,1772;317,80973;421,44541;641,52558;314,83594;
3226,000;484,79999;754,82272;172,96886;330,96185;734,69908;179,98042;1485,0405;459,39657;667,52136;
