Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;
3278,000;454,50722;264,09086;334,37866;905,27246;624,3615;
3276,000;67,670889;675,6362;1126,8309;472,26796;530,88251;
3274,000;54,702639;460,74008;556,11592;738,23364;569,50617;
3272,000;-8,431104;66,818369;496,29908;766,47217;335,63133;
3270,000;735,22927;268,55566;149,03409;291,73729;479,83098;
3268,000;309,5374;540,72954;432,45704;647,95492;351,33678;
3266,000;537,15444;-266,39421;1233,8532;469,8981;110,26103;
3264,000;863,08943;485,13011;588,9568;-59,620852;221,93067;
3262,000;285,18668;68,462939;469,58825;242,54735;523,12693;
3260,000;409,90049;390,068;112,06856;171,28158;899,11796;
3258,000;499,47216;304,61382;61,278284;170,38743;85,861464;
3256,000;358,90399;219,0113;176,03381;125,04761;187,17722;
3254,000;655,41629;264,3001;215,31988;254,41745;-122,78169;
3252,000;462,13028;-40,195497;531,14781;235,97523;918,53128;
3250,000;260,53046;482,15888;329,52314;93,089592;28,893699;
3248,000;572,62071;694,57683;386,78736;864,90156;248,66406;
3246,000;293,95917;261,23912;80,34189;512,62772;216,17843;
3244,000;555,70621;604,14983;308,05544;-16,405622;167,04158;
3242,000;211,05604;816,83878;513,93883;384,83957;2,4037334;
3240,000;313,06037;-135,66861;255,4227;291,00975;-2,9358348;
3238,000;469,43819;-165,90486;770,55929;335,50329;179,04277;
3236,000;267,01545;302,6713;554,50403;86,007559;872,87845;
3234,000;345,01994;-87,743264;28,41458;-152,56503;358,12046;
3232,000;51,095796;85,586242;259,03096;59,379304;177,54434;
3230,000;242,43727;156,42613;201,13602;449,71313;410,80258;
3228,000;96,929685;66,613058;591,1063;374,1772;364,0863;
3226,000;420,54834;444,33669;491,54685;734,69908;653,52814;
3224,000;334,70171;441,79856;-28,916371;533,57685;-146,22712;
3222,000;940,88902;314,51104;-201,68964;132,03741;238,62572;
3220,000;515,70626;112,89847;444,69693;-86,198252;75,611948;
3218,000;622,96668;-130,56937;-103,04006;235,08665;450,11157;
3216,000;567,90367;146,3543;750,51443;635,75728;115,9319;
3214,000;304,57178;229,28687;-10,796827;405,70809;326,17468;
3212,000;184,70602;165,03406;435,49005;-74,30463;258,14646;
3210,000;-1,1800106;393,47542;799,12984;546,78289;230,2082;
3208,000;259,56877;305,75247;77,453332;70,373525;196,12366;
3206,000;311,90093;324,31622;411,40532;710,35877;123,48158;
3204,000;805,83347;743,10685;467,53588;193,88586;1,3498547;
3202,000;409,58172;174,49812;498,66777;-158,66019;179,25214;
3200,000;32,137239;462,90352;-58,583378;115,27978;343,89029;
3198,000;664,18534;-138,51558;462,84458;-237,11778;376,51851;
3196,000;366,159;487,24285;101,30076;371,7769;711,89478;
3194,000;434,14658;-106,84392;446,48018;39,885334;89,968002;
3192,000;29,934881;276,11437;320,28452;-250,59089;-202,17631;
3190,000;-62,929799;37,83331;499,80377;75,21499;-57,940796;
3188,000;111,41901;24,886052;554,41838;241,50818;93,456547;
3186,000;4,4522807;172,7831;288,8452;643,86658;195,80469;
3184,000;46,829187;687,52476;69,739018;552,23755;-29,36262;
3182,000;-25,904633;64,433234;-267,3605;-24,905778;5,2022309;
3180,000;46,762157;370,50418;306,99389;576,55992;52,800686;
3178,000;132,66787;869,89098;-73,104659;-108,39404;342,24595;
3176,000;-168,20085;-248,3664;48,289422;-107,52193;295,3438;
3174,000;70,056248;437,45959;478,53671;-185,25025;75,130244;
3172,000;311,45545;531,39742;246,14862;530,49069;684,85361;
3170,000;-238,10825;158,39678;511,28313;473,78513;103,34227;
3168,000;512,17593;-500,71857;277,31392;641,81058;1021,9938;
3166,000;110,56856;120,71813;-87,251898;21,495713;-156,27885;
3164,000;288,83447;243,02065;430,80649;-126,29562;390,44664;
3162,000;201,4489;121,35365;-55,598037;604,46708;116,3004;
3160,000;-38,674122;807,36547;580,48643;706,93739;354,74748;
3158,000;500,56391;412,9071;-244,46355;668,09001;578,04816;
