;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts
489.90134;5839;5271;5172;5222;5263;5242;5321;5281;5325;5284;5381;5362;5383;5463;5571;5567;5593;5657;5671;5870;5814;5776;5837;5865;5880;5885;5747;5845;5873;5864;5804;5811;5838;5907;5946;5776;5770;5717;5868;5877;5769;5761;5801;5829;5856;5806;5813;5855;5820;5827;5824;5811;5756;5884;5781;5788;5721;5731;5844;5772;5675;5850;5774;5773;5765;5813;5780;5768;5825;5897;5730;5837;5772;5783;5853;5657;5788;5834;5873;5774;5746;5700;5800;5843;5818;5917;5801;5791;5757;5795
491.43408;5780;5237;5145;5142;5174;5198;5199;5294;5192;5291;5379;5288;5418;5403;5568;5532;5566;5763;5695;5718;5764;5688;5766;5758;5818;5719;5705;5869;5830;5749;5842;5792;5694;5811;5835;5720;5780;5812;5796;5836;5752;5725;5766;5764;5704;5697;5804;5783;5734;5759;5798;5707;5658;5768;5831;5729;5841;5773;5812;5737;5756;5749;5680;5787;5663;5635;5795;5699;5807;5778;5789;5767;5779;5783;5682;5795;5719;5791;5753;5722;5746;5776;5745;5753;5766;5688;5780;5712;5769;5772
492.96649;5791;5211;5143;5118;5133;5180;5173;5254;5095;5267;5274;5305;5396;5295;5427;5452;5620;5558;5652;5611;5637;5695;5721;5757;5651;5719;5715;5788;5733;5782;5754;5672;5650;5762;5737;5710;5780;5793;5708;5732;5742;5777;5652;5755;5759;5667;5710;5664;5692;5729;5836;5731;5777;5713;5689;5685;5662;5781;5705;5700;5645;5758;5727;5740;5702;5696;5732;5650;5735;5767;5638;5784;5614;5766;5655;5710;5739;5672;5651;5682;5759;5600;5743;5653;5662;5688;5697;5842;5741;5700
494.49762;5892;5161;5098;5127;5153;5109;5187;5100;5192;5234;5160;5225;5293;5280;5363;5371;5468;5573;5619;5639;5680;5718;5622;5651;5641;5723;5721;5716;5718;5706;5571;5598;5760;5696;5829;5727;5748;5688;5674;5756;5662;5618;5592;5635;5638;5658;5696;5558;5655;5621;5722;5669;5667;5670;5682;5618;5685;5684;5717;5715;5604;5677;5619;5535;5613;5626;5634;5633;5732;5764;5651;5646;5601;5707;5643;5677;5622;5644;5604;5688;5721;5677;5799;5618;5720;5641;5677;5680;5617;5754
496.02829;5803;5115;5013;5060;5086;5214;5078;5142;5157;5196;5238;5191;5257;5396;5370;5406;5491;5703;5645;5633;5627;5573;5587;5522;5689;5697;5695;5643;5666;5640;5642;5694;5677;5662;5669;5520;5657;5664;5677;5683;5687;5564;5638;5597;5582;5660;5665;5581;5648;5564;5680;5615;5773;5615;5599;5714;5583;5651;5679;5692;5682;5600;5644;5565;5659;5685;5562;5566;5589;5638;5736;5603;5604;5669;5605;5613;5689;5646;5595;5598;5591;5538;5692;5591;5495;5640;5690;5665;5602;5530
497.55865;5747;5086;5042;5119;5139;5100;5097;5165;5114;5105;5223;5163;5238;5243;5344;5391;5412;5527;5517;5613;5519;5536;5579;5565;5648;5640;5608;5742;5683;5620;5628;5588;5536;5637;5658;5662;5619;5614;5666;5661;5642;5658;5601;5607;5637;5671;5540;5632;5606;5676;5691;5620;5687;5560;5649;5651;5625;5477;5588;5499;5515;5619;5612;5545;5504;5533;5539;5584;5571;5563;5590;5584;5624;5598;5643;5618;5590;5566;5557;5586;5649;5548;5531;5528;5612;5559;5577;5515;5610;5472
499.08859;5720;5020;4932;5004;5055;4985;5115;5031;5124;5017;5137;5185;5186;5321;5351;5408;5386;5503;5426;5513;5486;5488;5539;5529;5529;5552;5572;5571;5566;5620;5613;5590;5587;5589;5587;5577;5606;5620;5555;5637;5604;5645;5535;5604;5660;5537;5540;5528;5531;5563;5527;5604;5461;5492;5463;5505;5546;5614;5518;5498;5502;5613;5453;5495;5572;5452;5531;5530;5606;5573;5542;5648;5578;5513;5592;5624;5495;5580;5594;5567;5510;5460;5587;5568;5489;5590;5744;5553;5554;5550
500.61722;5692;5034;4987;5012;5003;4968;4996;4931;5034;5083;5154;5087;5149;5108;5211;5253;5380;5442;5475;5451;5492;5488;5496;5486;5518;5511;5533;5545;5598;5549;5408;5531;5501;5584;5577;5508;5695;5551;5597;5438;5452;5579;5497;5580;5530;5492;5518;5571;5523;5560;5539;5525;5555;5419;5557;5533;5487;5501;5576;5499;5569;5515;5538;5464;5556;5542;5464;5387;5567;5528;5437;5514;5541;5506;5531;5612;5627;5473;5468;5567;5510;5514;5419;5538;5545;5587;5527;5553;5504;5495
502.14548;5599;4935;4984;4884;4930;4997;4966;5003;5019;4992;4979;5045;5135;5202;5112;5282;5260;5375;5440;5498;5424;5524;5479;5475;5503;5533;5471;5550;5456;5549;5460;5495;5496;5509;5632;5516;5484;5454;5517;5506;5509;5509;5453;5508;5535;5353;5464;5563;5420;5494;5422;5398;5364;5442;5548;5579;5493;5535;5509;5479;5470;5476;5472;5450;5491;5545;5463;5487;5508;5455;5509;5558;5522;5505;5489;5524;5411;5447;5509;5439;5366;5494;5491;5421;5511;5468;5512;5473;5418;5464
503.6734;5685;4940;4935;4857;4953;4936;4886;4916;4919;4962;5021;5017;5095;5099;5136;5252;5311;5314;5358;5491;5367;5358;5418;5443;5445;5486;5454;5473;5480;5445;5450;5432;5493;5480;5588;5413;5460;5375;5463;5381;5355;5371;5486;5559;5369;5420;5504;5407;5414;5411;5481;5476;5494;5453;5329;5469;5472;5449;5509;5415;5513;5390;5429;5484;5514;5412;5401;5447;5460;5477;5498;5525;5414;5457;5436;5524;5453;5321;5308;5358;5420;5439;5542;5433;5482;5384;5494;5501;5493;5423
505.2009;5571;4827;4869;4887;4870;4889;4845;4945;4861;4974;4958;5032;5072;5150;5119;5238;5224;5277;5375;5393;5372;5396;5230;5453;5459;5369;5415;5562;5468;5363;5341;5430;5457;5597;5367;5457;5537;5381;5406;5311;5359;5364;5412;5319;5446;5424;5444;5441;5362;5290;5460;5328;5409;5324;5411;5344;5394;5285;5423;5374;5345;5314;5360;5402;5343;5392;5445;5352;5417;5506;5431;5410;5362;5417;5323;5417;5311;5319;5463;5329;5347;5419;5360;5396;5429;5395;5364;5449;5392;5455
506.72711;5431;4915;4855;4750;4832;4795;4813;4873;4873;4955;4932;4947;4973;5058;5048;5088;5183;5247;5286;5355;5356;5250;5351;5229;5334;5361;5389;5393;5406;5371;5407;5333;5341;5396;5339;5424;5365;5376;5276;5431;5379;5290;5405;5379;5351;5371;5331;5410;5317;5371;5393;5322;5330;5357;5295;5364;5358;5276;5272;5320;5363;5296;5363;5360;5322;5326;5289;5331;5368;5323;5336;5309;5360;5393;5335;5351;5205;5300;5390;5290;5343;5362;5284;5475;5424;5307;5393;5259;5330;5305
508.25293;5516;4717;4734;4752;4766;4793;4704;4774;4812;4893;4852;4832;4853;4919;5015;5137;5144;5227;5252;5274;5352;5236;5283;5279;5370;5399;5333;5316;5365;5356;5358;5317;5328;5375;5343;5306;5349;5430;5258;5290;5285;5334;5303;5351;5288;5291;5253;5295;5329;5350;5363;5293;5311;5287;5380;5241;5352;5303;5319;5341;5268;5178;5316;5227;5313;5311;5372;5262;5348;5319;5249;5329;5242;5342;5296;5178;5212;5359;5226;5229;5347;5279;5327;5225;5260;5335;5358;5262;5282;5247
509.7775;5382;4728;4780;4689;4669;4692;4636;4790;4800;4787;4799;4888;4899;4956;4954;5029;5086;5131;5225;5234;5231;5247;5303;5276;5253;5261;5266;5215;5404;5316;5335;5233;5371;5292;5249;5247;5354;5210;5305;5209;5223;5245;5209;5258;5364;5284;5234;5160;5219;5275;5274;5223;5306;5267;5256;5252;5354;5286;5165;5200;5238;5127;5207;5306;5243;5203;5197;5193;5264;5312;5204;5255;5284;5249;5215;5223;5237;5264;5197;5185;5156;5116;5248;5192;5257;5364;5258;5279;5276;5272
511.30255;5366;4623;4684;4737;4638;4622;4742;4726;4759;4810;4764;4799;4759;4913;4902;5091;4970;5128;5159;5131;5205;5151;5260;5106;5320;5285;5289;5179;5184;5279;5182;5305;5257;5177;5262;5254;5220;5239;5237;5328;5274;5203;5181;5218;5275;5245;5209;5155;5142;5124;5277;5294;5228;5142;5267;5222;5166;5102;5231;5144;5142;5185;5189;5173;5287;5108;5145;5048;5182;5258;5216;5257;5150;5110;5174;5181;5138;5257;5150;5156;5151;5288;5147;5175;5176;5207;5307;5119;5171;5138
